Justin,1,32:605
Federico,2,32:893
Super Gary,3,33:99
David Quednau,4,33:488
meesa,5,34:209
kelz,6,34:595
KUSHY,7,34:758
Alberto Gnemmi,8,35:397
Punisher,4,35:546
Ted,9,35:673
SuperMario,10,36:245
Chris,11,36:284
chuu!!,5,36:333
JakeTracy,12,37:378
Forkus,9,38:250
Volvo'z,10,39:268
