meesa,1,33:327
Justin,2,33:949
DON FULANO,3,34:105
Federico,4,34:289
Ted,5,35:524
SpeedRacer,6,37:653
Robrx78,7,38:627
Alberto Gnemmi,8,40:189
Vero,9,42:546
